Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
July 2021,159518785.0,162517035.0,24980117.0,198.6,25526787.6,137587095.70000002,133930764.1,81.29,81.29483870967742,0.12298232316970825,0.5073020458221436,0.061491161584854126,1.6756341457366943
August 2021,156065524.0,157580988.0,21113982.0,156.7,21099577.3,136544809.8,135009393.29999998,82.81,82.81225806451613,0.34466552734375,0.5483314990997314,0.046999841928482056,2.130659580230713
September 2021,156094245.0,158040997.0,19211241.0,174.3,19754395.5,138935329.1,136368221.9,128.34,128.33566666666667,0.32608696818351746,0.4658385217189789,0.07763975113630295,2.329192638397217
October 2021,169338742.0,172884926.0,12885158.0,128.0,12968891.0,159921841.1,156149223.3,139.54,139.54322580645163,0.2226179838180542,0.5936479568481445,0.13357079029083252,1.9293558597564697
November 2021,169834059.0,175579010.0,4456975.0,42.7,4751276.5,171175955.3,165135634.3,176.25,176.24666666666664,0.48725029826164246,0.7308754324913025,0.3248335123062134,1.9002760648727417
December 2021,176148155.0,179615008.0,2872849.0,37.9,2759985.2,176786809.5,173330939.60000002,220.96,220.9564516129032,0.5453087687492371,1.2510024309158325,1.026463508605957,2.502004861831665
January 2022,179088096.0,185148316.0,3789213.0,41.2,3979091.5,181190295.0,175156195.2,167.87,167.87483870967742,0.9000321626663208,1.9447122812271118,1.7679202556610107,3.0697524547576904
February 2022,166760943.0,169271596.0,8937174.0,85.0,8836427.7,160342350.10000002,157919998.0,128.78,128.77714285714288,1.7719441652297974,3.4126334190368652,3.2157506942749023,4.331418991088867
March 2022,173051198.0,175688794.0,22337958.0,235.2,22469899.3,153889131.7,150766157.2,251.76,251.75870967741935,1.7204949855804443,5.584062576293945,5.5538787841796875,6.006640434265137
April 2022,159157168.0,160516455.0,22938710.0,190.4,21511767.2,138037834.9,137584757.10000002,166.0,166.00233333333333,1.444390892982483,3.8838067054748535,3.931953191757202,4.525758266448975
May 2022,157308249.0,159540198.0,30266917.0,247.7,29564431.8,130126925.6,127772776.4,177.51,177.50548387096774,1.0690423250198364,2.6726057529449463,2.6280622482299805,3.563474416732788
June 2022,150123550.0,149450769.0,31826968.0,278.8,30679939.2,117984408.9,119449342.0,218.18,218.18233333333333,1.1265431642532349,2.7469136714935303,2.6543209552764893,3.564814805984497
July 2022,156762819.0,153470146.0,31300989.0,265.8,31673738.6,121793520.1,125048283.70000002,315.26,315.2625806451613,0.8145363330841064,2.5375940799713135,2.553258180618286,3.4774436950683594
August 2022,154908560.0,149813656.0,28876703.0,272.8,29547559.5,120696184.9,125385674.4,469.35,469.3470967741936,0.49449673295021057,2.600095748901367,2.3289201259613037,4.290955543518066
September 2022,154042409.0,149422737.0,18927531.0,152.3,18802948.4,130506847.8,135263395.29999998,360.18,360.17966666666666,0.9489732384681702,3.1425015926361084,2.9247043132781982,4.029246807098389
October 2022,168142765.0,154182780.0,14131631.0,141.1,14505475.3,139850364.3,153447272.5,157.78,157.7774193548387,1.0925644636154175,3.930197238922119,3.8088011741638184,4.643399238586426
November 2022,168034929.0,159098445.0,6745025.0,75.3,6950654.6,152274134.6,161102458.70000002,175.45,175.44733333333335,0.8633980751037598,2.744372606277466,2.6827011108398438,3.6077706813812256
December 2022,168862688.0,163651589.0,2589550.0,38.8,3085007.4,162457422.70000002,165739213.2,256.66,256.658064516129,0.5309441089630127,2.5883524417877197,2.4556164741516113,3.434544563293457
January 2023,175639057.0,168611815.0,3332866.0,32.2,3706419.7,165092871.70000002,171981932.3,135.59,135.58774193548388,0.9538152813911438,1.9578313827514648,1.9243640899658203,2.928380250930786
February 2023,156073058.0,152552302.0,9316379.0,89.2,9120398.5,143111226.3,146942771.1,128.39,128.39178571428573,0.820110559463501,2.353360652923584,1.9789624214172363,3.6191835403442383
March 2023,170443975.0,163499634.0,15029024.0,99.7,14184192.1,148637079.4,156419519.8,102.4,102.40032258064517,0.8979048728942871,2.4775524139404297,2.411041021347046,3.4253408908843994
April 2023,148610619.0,144578742.0,22085578.0,151.0,21552834.6,122902032.79999998,127008243.1,100.83,100.83233333333332,0.6711409687995911,2.176673412322998,2.031561851501465,3.1743152141571045
May 2023,149541966.0,145272838.0,31998939.0,249.3,31531339.2,113943025.7,118037235.0,81.65,81.64741935483872,0.6108515858650208,1.994250774383545,1.796622395515442,3.1261229515075684
