"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2024 18:30 - 03.01.2024 18:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 18:45 - 03.01.2024 19:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 19:00 - 03.01.2024 19:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 19:15 - 03.01.2024 19:30 (CET/CEST)","3"
"Germany (DE)","03.01.2024 19:30 - 03.01.2024 19:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 19:45 - 03.01.2024 20:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 20:00 - 03.01.2024 20:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 20:15 - 03.01.2024 20:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 20:30 - 03.01.2024 20:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 20:45 - 03.01.2024 21:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 21:00 - 03.01.2024 21:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 21:15 - 03.01.2024 21:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 21:30 - 03.01.2024 21:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 21:45 - 03.01.2024 22:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 22:00 - 03.01.2024 22:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 22:15 - 03.01.2024 22:30 (CET/CEST)","3"
"Germany (DE)","03.01.2024 22:30 - 03.01.2024 22:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 22:45 - 03.01.2024 23:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 23:00 - 03.01.2024 23:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 23:15 - 03.01.2024 23:30 (CET/CEST)","3"
"Germany (DE)","03.01.2024 23:30 - 03.01.2024 23:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 23:45 - 04.01.2024 00:00 (CET/CEST)","2"
"Germany (DE)","04.01.2024 00:00 - 04.01.2024 00:15 (CET/CEST)","2"
"Germany (DE)","04.01.2024 00:15 - 04.01.2024 00:30 (CET/CEST)","3"
"Germany (DE)","04.01.2024 00:30 - 04.01.2024 00:45 (CET/CEST)","2"
"Germany (DE)","04.01.2024 00:45 - 04.01.2024 01:00 (CET/CEST)","2"
"Germany (DE)","04.01.2024 01:00 - 04.01.2024 01:15 (CET/CEST)","2"
"Germany (DE)","04.01.2024 01:15 - 04.01.2024 01:30 (CET/CEST)","2"
"Germany (DE)","04.01.2024 01:30 - 04.01.2024 01:45 (CET/CEST)","2"
"Germany (DE)","04.01.2024 01:45 - 04.01.2024 02:00 (CET/CEST)","2"
"Germany (DE)","04.01.2024 02:00 - 04.01.2024 02:15 (CET/CEST)","3"
